Video ID,transcript,transcript_word_count,speaking_rate,transcript_question_count,transcript_has_cta,keyword_alexa,keyword_google_home,keyword_review,keyword_unboxing,keyword_tutorial,keyword_how_to,keyword_setup,keyword_automation
7282414941955558662, FOR clothes Tianze Mango,4,0.2894356005788712,0,0,0,0,0,0,0,0,0,0
7391816340396444935," So I'm on a bit of a mission to make my home a lot smarter and I jumped on Amazon and I found this is the first thing I wanted to buy this is called a switchbot switchbot curtain very Straybot if you hadn't picked up already it's for the curtains So this is the curtain in question as you can see very annoying to have to do this all by myself At a quick look of instructions and there's a lot of words. So I'm just gonna wing it stairs too small Okay, they're a kind of small. Let me get bigger stairs stairs steps. Let's have a look Oh, hey, so how do you go in there the arms come off? Is that how I do it like this? Big brain wait, it's not in there It's not inside the curtain so well. This is finicky town downboats Wait, I think they did it it moved. Oh, it's trying to go that way. Hello. Love you're already at the end. We want to move right. Oh You're doing amazing sweetie. Just a little slow. Oh, she really sounds like she's struggling now For it to work you also do need to buy their hub as well Which is what this is this is a switchbot hub to which cost me about 130 bucks But it does do a couple cool things as well front of the screen here shows you temperature and the humidity settings of the room But the other cool thing is that you can set up all your infrared remotes through this as well So for your TV or for your air conditioner and then you can use it all through the app on your phone Check this out. Hey Siri close the blinds Okay So this is definitely phase one in operation smart home now. I'm just going to figure out what to buy next",321,3.676554804718818,2,0,0,0,0,0,0,0,0,0
7478251958663384327," This smart panel is via KARA S1+. But whether you can add devices from other brands to it, it really depends on your setup. Let me explain. Because I'm on Apple HomeKit, I can control and add any other brand devices to it as long as they have this logo. However, if you are on any of this other ecosystem or solely relying on the KARA app, unfortunately you will be bound to KARA products. On the bright side, KARA makes really good and affordable smartphone products. Therefore, you will still have a white range of products to choose from.",100,3.1456432840515887,0,0,0,0,0,0,0,0,1,0
7503873712844803374," Hello, Shao Le living room display. Hello, Shao Le kitchen display. Let's say I want a knife or a drink, it will automatically find it according to your command. Hello, Shao Le cloak room display. Hello, Shao Le time to wake up. Hello, Shao Le cloak room display.",48,1.59256801592568,0,0,0,0,0,0,0,0,0,0
7532818182160059666," which smart home systems to use. Here are my recommendations for three stage progresses setup depending on where you are currently in your smart home journey. For stage 1 is to go with something simple to start with. Option 1, Apple HomeKit. Option 2, Google Home. Option 3, Amazon Alexa. Move to stage 2. In-kit users, you will want to add a home bridge or hope to your setup. System Google Home users, you will want to move out all your configurations to either smart things or homey. Google Home will be just be left with your voice commands and any other devices that you just can't integrate. Alexa users, it will be something similar. Stage 3, you're going to remove whichever systems that you have added in stage 2 and replace that with home assistant. So you can even have a mixture of Google, Amazon and Apple devices if you want. You have easy user friendly dashboards for your family to access the smart home. Then new yourself is like the IT admin using home assistant to manage and monitor the setup.",183,3.1622602384655263,0,0,1,1,0,0,0,0,1,0
7459216117144341767," Be careful with Alexa. If you have an Alexa device like this in your home, you will be shocked by what I'm about to show you. Go to amazon.com and on your profile, select your account. In the next menu, find the option that says content and devices. Select devices and click on Echo Dot and then select the Echo Dot you own. There is a menu quite hidden over here under Privacy and Settings, so click on Alexa Privacy and in this menu, click on View Voice History. Here you will find all your recorded voice history, like this one for example. Everything you say is being recorded, but what is really alarming here is that Alexa records things even when you're not directly talking to Alexa. For example, here's something it picked up during a call. Even though I didn't say Alexa, creepy, right? If you don't want this, click on Manager Alexa data and then choose how long to save or if you prefer, you can choose to delete your whole data history. Amazon could be using these recordings to improve their services, but what if Amazon gets hacked? Keep your friends informed and don't forget to follow and share for more.",205,3.068862275449102,2,0,1,0,0,0,0,0,0,0
7547231694214974738," This training board ice-keyboard! Here are our DIY smart home setups that just make sense, including what we used configured with Apple HomeKit. First is our smart floor fan, one tap on the iPad controls and firehouse. We can instantly see which lights are on and the best part it only costs 150 for a lifetime subscription and we also use our iPad to run our dishwasher, washing machine and real-bop back. Another setup that we really like are the shortcut switches. Our goodbye buttons shut down everything and close us a curtains when we go out and our goodnight button turns off the lights and powers on the aircon and fans. Now this is probably our most useful setup yet. Using motion sensors to turn on certain light configurations and even our water heater. This is super useful when our hands are full. Oh when we forget to turn something on. The last setup that really makes sense for us is using adaptive lighting. It's something subtle but noticeable and it changes the mood of the house automatically throughout the day and don't worry it's a free feature in Apple HomeKit so you just gotta make sure that you've got the red accessories. Before we start to under DIY we will quote it close to $8,000 for less than what you see here. Configuring your smart home is definitely not as hard as it looks but it does take a little effort and patience. So if you want to know how to set up your own smart home or know what we used, follow to find out more.",269,3.1414223986920473,0,0,0,0,0,0,0,1,1,0
7268383374119570721," You wanna create your smart room where you don't know where to start and maybe you've got a few smart objects where you don't feel like it's making your life easier. This playlist is for you. I'll tell you everything you need to know in order to create the coolest smart room. Here are 3 secret rules you should keep in mind. Rule number 1. If it's not an improvement, don't do it or make it better. If you buy smart bulbs in your house and you need your phone to turn them on, you're doing it wrong. Flipping your Google switch is faster than using your phone. Rule number 2. The perfect smart room doesn't need apps or voice assistance. I know it can be hard to picture since literally every smart brand in the market sends you a positive signal by telling you how convenient it is to use their app to turn on their lights. But remember that the most profound technologies are the ones that disappear. Rule number 3. Avoid clouds at all costs. Apart from the security flaws and dollar are vesting, clouds can be unreliable. We all remember when Nest went down leaving all their users with a lot of freezing temperature inside their own homes. If you build a smart room, make it your own. These general rules would prevent you from wasting time and money while creating the best smart room. But remember that, above all, making a smart room is fun. Now we can move on on what you need to buy and which software you should use. See you in part 2.",272,4.357577699455303,0,0,0,0,0,0,0,0,0,0
7550831781096819986, لشبيت هذا الجطع مارحة ضيع شيء أبت هذا الجطع سمه ايرتاك من أبل الجطع هذا رأت سمح لك نكتتبع مكتانياتك بكل دقاء تكتبت حطة في شناط صفارك تكتبت حطة في محفظتك تكتبت حطة مع مداليات مفاتيحك المجمع تكتبت حطها مع أي حاجة ممكنك ضيعة يعي لو رحنا مثل معك ضفل و رحنا مكان مزدحاً خفتنا كضيعة ممكن تحطها تساعدك في العثور على لو لسامح الله ضيعة من اسبلي استخدمها في سفر مرض موري بحيث يحطة جطع واحدة في كل شنطة من الشناطي وتأكد ان الشناط اركمت معي في الطيارة وبرضوا إلي كانت الشناط على سير الأمتع قدرت تحديد مكانها عن طريق الائيفن جداً دقيفة يجيب لك مكانها بالصانتي متر وما مثل مع مضيعتها وستشنطر احتجد رشاكل صوت عن طريق الائيفن طحيط لعصوض مثل كيدة أشوفها جطع ضرورية جداً لاسيما إلي كنت ومسافر عندك مكتميات جداً فمينة مثل شناط غالية نحفظة نفاتي حما الى ذلك,144,2.410848819688599,0,0,0,0,0,0,0,0,0,0
7457735244221926699," Today I'm making my luxury apartment just a little bit smarter. I just received the Amazon Echo Show 15 and I already know that it's about to make my day-to-day life 10 times easier. Virtually everything in my apartment is managed by Alexa. Whether it's my music, schedule, grocery list, or even real-time updates on the weather and traffic. Oh, and most definitely my lighting setup in every room as well. By mounting the Echo Show 15 in the central location in my hallway, I'm not just enhancing my space, I'm creating a command center for myself and any of my guests that may be visiting me. For example, if you want to adjust the lights in my living room, it's done right from here. Gotta order some groceries for the play-offs this weekend. Easy, or maybe it's just time to unwind for the night. Alexa, it's time to relax.",150,3.004205888243541,0,0,1,0,0,0,0,0,1,0
